id,name,value
0,Item 0,0.0
1,Item 1,1.5
2,Item 2,3.0
3,Item 3,4.5
4,Item 4,6.0
5,Item 5,7.5
6,Item 6,9.0
7,Item 7,10.5
8,Item 8,12.0
9,Item 9,13.5
10,Item 10,15.0
11,Item 11,16.5
12,Item 12,18.0
13,Item 13,19.5
14,Item 14,21.0
15,Item 15,22.5
16,Item 16,24.0
17,Item 17,25.5
18,Item 18,27.0
19,Item 19,28.5
20,Item 20,30.0
21,Item 21,31.5
22,Item 22,33.0
23,Item 23,34.5
24,Item 24,36.0
25,Item 25,37.5
26,Item 26,39.0
27,Item 27,40.5
28,Item 28,42.0
29,Item 29,43.5
30,Item 30,45.0
31,Item 31,46.5
32,Item 32,48.0
33,Item 33,49.5
34,Item 34,51.0
35,Item 35,52.5
36,Item 36,54.0
37,Item 37,55.5
38,Item 38,57.0
39,Item 39,58.5
40,Item 40,60.0
41,Item 41,61.5
42,Item 42,63.0
43,Item 43,64.5
44,Item 44,66.0
45,Item 45,67.5
46,Item 46,69.0
47,Item 47,70.5
48,Item 48,72.0
49,Item 49,73.5
50,Item 50,75.0
51,Item 51,76.5
52,Item 52,78.0
53,Item 53,79.5
54,Item 54,81.0
55,Item 55,82.5
56,Item 56,84.0
57,Item 57,85.5
58,Item 58,87.0
59,Item 59,88.5
60,Item 60,90.0
61,Item 61,91.5
62,Item 62,93.0
63,Item 63,94.5
64,Item 64,96.0
65,Item 65,97.5
66,Item 66,99.0
67,Item 67,100.5
68,Item 68,102.0
69,Item 69,103.5
70,Item 70,105.0
71,Item 71,106.5
72,Item 72,108.0
73,Item 73,109.5
74,Item 74,111.0
75,Item 75,112.5
76,Item 76,114.0
77,Item 77,115.5
78,Item 78,117.0
79,Item 79,118.5
80,Item 80,120.0
81,Item 81,121.5
82,Item 82,123.0
83,Item 83,124.5
84,Item 84,126.0
85,Item 85,127.5
86,Item 86,129.0
87,Item 87,130.5
88,Item 88,132.0
89,Item 89,133.5
90,Item 90,135.0
91,Item 91,136.5
92,Item 92,138.0
93,Item 93,139.5
94,Item 94,141.0
95,Item 95,142.5
96,Item 96,144.0
97,Item 97,145.5
98,Item 98,147.0
99,Item 99,148.5
